iter	MultiClass
211	0.7712173533
212	0.77057111
213	0.770056444
214	0.7692291512
215	0.7683023449
216	0.7676671102
217	0.76689625
218	0.7659304578
219	0.7651650802
220	0.7641856651
221	0.763513104
222	0.7627019841
223	0.7619563105
224	0.7611721134
225	0.7604191675
226	0.7596037646
227	0.7591386305
228	0.7584331447
229	0.7576889382
230	0.7567207815
231	0.7560764595
232	0.7552364165
233	0.7548908483
234	0.7540031102
235	0.7532999722
236	0.7525032177
237	0.7520293898
238	0.7506829345
239	0.7496529058
240	0.7490182481
241	0.7481827961
242	0.7475295667
243	0.7466041229
244	0.7461429281
245	0.7454389423
246	0.7449427079
247	0.7444982833
248	0.7439435125
249	0.7433579555
250	0.7425259901
251	0.741771627
252	0.7412966144
253	0.7406727764
254	0.7400965215
255	0.7392373256
256	0.7383542823
257	0.737448329
258	0.7368714609
259	0.7361559536
260	0.7355140592
261	0.7349716373
262	0.7343899021
263	0.7340541019
264	0.7332293619
265	0.7326543703
266	0.7319979093
267	0.7310787328
268	0.7306851812
269	0.7300941547
270	0.729625275
271	0.7290840431
272	0.7282270163
273	0.727559352
274	0.7270908753
275	0.726510755
276	0.7259336909
277	0.7255198415
278	0.7250561219
279	0.7245627838
280	0.7241114528
281	0.7237031789
282	0.7230882735
283	0.7226176141
284	0.7221718326
285	0.7213266779
286	0.7209239269
287	0.7204500211
288	0.7198358616
289	0.7193112749
290	0.7186188175
291	0.7180462033
292	0.7175802231
293	0.717058726
294	0.7164127536
295	0.7157179363
296	0.7151736036
297	0.7143585367
298	0.713892173
299	0.7129196099
300	0.71243931
301	0.7117462631
302	0.7111562438
303	0.7106772331
304	0.7104038419
305	0.7100172695
306	0.7096045724
307	0.7091038676
308	0.7085911456
309	0.7080846047
310	0.7071728591
311	0.7066480936
312	0.7062103772
313	0.7052126473
314	0.7049450149
315	0.7045894345
316	0.7041590274
317	0.7037549209
318	0.7032090376
319	0.7027626803
320	0.701916568
321	0.7012960505
322	0.7004646735
323	0.6999519768
324	0.6994566978
325	0.6989622589
326	0.6985295301
327	0.6979390816
328	0.6975497132
329	0.6969594496
330	0.6965762208
331	0.6960135223
332	0.6953337931
333	0.6948348209
334	0.6944593217
335	0.6939080087
336	0.6932727727
337	0.6927823775
338	0.6921767722
339	0.6918302311
340	0.6911848427
341	0.6907714562
342	0.6901565544
343	0.6896604578
344	0.6887714317
345	0.6884218092
346	0.6879436817
347	0.6875816592
348	0.6869965774
349	0.6863472918
350	0.6858960994
351	0.6854231821
352	0.6850208756
353	0.6846153384
354	0.6838502665
355	0.6832632274
356	0.6828402189
357	0.6825009725
358	0.6822520086
359	0.6820067228
360	0.6813535958
361	0.6809034259
362	0.6803012029
363	0.6798155188
364	0.6794315788
365	0.6791194556
366	0.6786580591
367	0.6782899509
368	0.677859754
369	0.6772581828
370	0.6768943145
371	0.676455809
372	0.6760239873
373	0.675731918
374	0.6750908588
375	0.6745117149
376	0.6741162614
377	0.673659321
378	0.6729438867
379	0.6725104126
380	0.6716700148
381	0.6710667856
382	0.6705051953
383	0.6700856623
384	0.6693296291
385	0.6686770894
386	0.6680265315
387	0.6677125641
388	0.6671022227
389	0.6666423388
390	0.6660362163
391	0.6655795099
392	0.6649151309
393	0.6645291148
394	0.6640068147
395	0.6632247449
396	0.6629473204
397	0.6625660045
398	0.662104421
399	0.6616106755
400	0.6608264554
401	0.660406093
402	0.6597060547
403	0.6593653662
404	0.658723179
405	0.6581903166
406	0.6577437349
407	0.6572563619
408	0.6568604742
409	0.6562047224
410	0.655761961
411	0.6554106455
412	0.6548244422
413	0.6545346273
414	0.6540338654
415	0.6535547193
416	0.6531505435
417	0.6525910752
418	0.6517190115
419	0.651186891
420	0.650855095
421	0.6504116851
422	0.64985282
423	0.6495465059
424	0.649202962
425	0.6488980237
426	0.6485421171
427	0.6479565646
428	0.6473911013
429	0.6469492536
430	0.6463571777
431	0.6460388509
432	0.6457433531
433	0.6449333241
434	0.6444568597
435	0.6440718364
436	0.6433824319
437	0.6430622118
438	0.642875174
439	0.642381983
440	0.6418996006
441	0.6416271459
442	0.6409767055
443	0.6402988441
444	0.639869257
445	0.6395942731
446	0.6391869824
447	0.6389197869
448	0.6386455261
449	0.6380346172
450	0.6373995589
451	0.6368949498
452	0.6364853346
453	0.6361691102
454	0.6356768175
455	0.6353614143
456	0.6346653407
457	0.634190602
458	0.6337855732
459	0.6333858403
460	0.6329014023
461	0.6323634423
462	0.6319413409
463	0.6313196221
464	0.6310894353
465	0.6305869038
466	0.6302902647
467	0.6300690851
468	0.629798476
469	0.629437048
470	0.6290487651
471	0.6286237631
472	0.6282026563
473	0.6278226107
474	0.6272024012
475	0.626765942
476	0.6262869584
477	0.6256156485
478	0.6252561691
479	0.6249759606
480	0.6247850354
481	0.6242601672
482	0.624016267
483	0.6234279587
484	0.6228373926
485	0.6224126542
486	0.622079088
487	0.6216751067
488	0.6212136046
489	0.6206476788
490	0.6199099112
491	0.6194403337
492	0.6189351607
493	0.6184707531
494	0.6180791035
495	0.617703452
496	0.6174416943
497	0.617130193
498	0.6167781431
499	0.616483631
500	0.6160628102
501	0.6157331964
502	0.6153335084
503	0.6149088267
504	0.6145713065
505	0.613861137
506	0.613520972
507	0.6131574066
508	0.6129005475
509	0.6125005205
510	0.6120851066
511	0.6118116814
512	0.6113708709
513	0.6109100092
514	0.6106447855
515	0.6103372617
516	0.6099456662
517	0.6094959697
518	0.608903188
519	0.6083434039
520	0.6079892369
521	0.6073079016
522	0.6068990128
523	0.606643117
524	0.6059165685
525	0.6056428171
526	0.6052860813
527	0.6049996732
528	0.6047334885
529	0.6042477107
530	0.6036001138
531	0.603156789
532	0.6025349215
533	0.6019631791
534	0.6015597749
535	0.6009878522
536	0.6007146924
537	0.6001809853
538	0.5997968164
539	0.5994193396
540	0.5988714118
541	0.5985140292
542	0.5980494708
543	0.5977833806
544	0.5974230175
545	0.5970250955
546	0.5965906762
547	0.5962265681
548	0.5961042091
549	0.5957500026
550	0.5953104814
551	0.5948976793
552	0.5945175415
553	0.5939972682
554	0.5935691196
555	0.5932798937
556	0.5929991752
557	0.5925022378
558	0.5921313722
559	0.5919043683
560	0.5913456696
561	0.5908477776
562	0.5905541553
563	0.5900982617
564	0.5897562315
565	0.5894225947
566	0.5890927253
567	0.5887526083
568	0.5885108247
569	0.5881227359
570	0.5878909976
571	0.587682167
572	0.5872018132
573	0.5867155119
574	0.5864553213
575	0.5860055115
576	0.5854792567
577	0.5851087618
578	0.5847900723
579	0.5843749428
580	0.5841182244
581	0.5835308471
582	0.5832180771
583	0.5828265625
584	0.5822942001
585	0.5820214577
586	0.581516832
587	0.581113004
588	0.5807798124
589	0.5803347245
590	0.5797954145
591	0.5794847056
592	0.5790058969
593	0.5787090058
594	0.5781644394
595	0.5778289437
596	0.5773852135
597	0.5771094617
598	0.5766042594
599	0.5761133232
600	0.5758878982
601	0.5754072811
602	0.575100027
603	0.5746109753
604	0.574306268
605	0.5740030641
606	0.5734750458
607	0.5730481769
608	0.5726453655
609	0.5723347864
610	0.5721243258
611	0.57172387
612	0.571400232
613	0.5710996741
614	0.5707276573
615	0.5702364955
616	0.5700008882
617	0.5695427796
618	0.5693379672
619	0.5690648411
620	0.5688369755
621	0.5684435233
622	0.5681005964
623	0.5677589773
624	0.5673351506
625	0.5669135306
626	0.5666550254
627	0.5662864842
628	0.5660973483
629	0.5657926223
630	0.5652625657
631	0.5648939624
632	0.5645120995
633	0.5642540161
634	0.5639296494
635	0.5635617855
636	0.5632537295
637	0.5629003887
638	0.5624160921
639	0.561931373
640	0.5615132118
641	0.5610938726
642	0.5606191955
643	0.5602336038
644	0.5599527905
645	0.5597030023
646	0.5594372381
647	0.558985459
648	0.5587553032
649	0.5582315617
650	0.5579747711
651	0.5577686127
652	0.5574240632
653	0.556723867
654	0.5563194746
655	0.5559663847
656	0.5557911169
657	0.5555362298
658	0.555267367
659	0.5548154021
660	0.5544161285
661	0.5540557332
662	0.5538396119
663	0.5533710457
664	0.5532103565
665	0.5528605873
666	0.5525592949
667	0.5520883956
668	0.5515956423
669	0.5512927445
670	0.551110955
671	0.5507568042
672	0.5504173675
673	0.5501003204
674	0.5496815685
675	0.5493854958
676	0.5491099884
677	0.5486634598
678	0.5483652899
679	0.5480081467
680	0.5475574798
681	0.5472396659
682	0.5469891655
683	0.5466520926
684	0.5464496704
685	0.5460689606
686	0.5457189132
687	0.5454352803
688	0.5450443898
689	0.5447325423
690	0.5444326807
691	0.5440906688
692	0.5436536797
693	0.5433554306
694	0.5429478372
695	0.5425743042
696	0.5420696332
697	0.5418314169
698	0.5415890174
699	0.5412473837
700	0.5408556519
701	0.5404500959
702	0.5398424192
703	0.5397391532
704	0.5394529091
705	0.5391103258
706	0.5387142082
707	0.5384717136
708	0.5381034271
709	0.5379043892
710	0.5376096446
711	0.5373008733
712	0.5368545644
713	0.53659002
714	0.5361530788
715	0.5358476801
716	0.5355135316
717	0.5350547641
718	0.5348443604
719	0.5346001406
720	0.5343068061
721	0.5341160245
722	0.5338015812
723	0.5334161946
724	0.5331527051
725	0.5328125587
726	0.5325405971
727	0.5322023647
728	0.5320491886
729	0.531588691
730	0.5314272064
731	0.5310664085
732	0.5307781436
733	0.5304214952
734	0.5302618315
735	0.5297381605
736	0.5292378205
737	0.5290380917
738	0.5288464609
739	0.5284278769
740	0.5281981475
741	0.5278951478
742	0.5277080594
743	0.5272642904
744	0.5269709039
745	0.5266546088
746	0.5261461505
747	0.5259156973
748	0.5254589279
749	0.525111502
750	0.5248075065
751	0.5243545069
752	0.524055949
753	0.5237467957
754	0.5234568385
755	0.523107627
756	0.5227820966
757	0.5225280753
758	0.5222503608
759	0.5217499006
760	0.5214636812
761	0.520972697
762	0.5204446687
763	0.5201743805
764	0.5196241956
765	0.519222986
766	0.5188997081
767	0.5184082294
768	0.5179206795
769	0.5177474411
770	0.5175369341
771	0.5170760239
772	0.5167361966
773	0.516278303
774	0.5159171979
775	0.5157621916
776	0.5153907318
777	0.5150303982
778	0.5148963018
779	0.514434448
780	0.5141591222
781	0.5139136454
782	0.513551501
783	0.5132528907
784	0.5130192617
785	0.5126923116
786	0.5124968624
787	0.5121186252
788	0.5118827737
789	0.5115952351
790	0.5111605897
791	0.5109367668
792	0.5107646028
793	0.5104512194
794	0.5102706871
795	0.5100269374
796	0.5096827975
797	0.5092968896
798	0.5090396771
799	0.508791619
800	0.508511826
801	0.5082618731
802	0.5079400356
803	0.5076657522
804	0.507199782
805	0.5069828842
806	0.5066300461
807	0.5062947574
808	0.5059725522
809	0.5056033792
810	0.5053015604
811	0.5049097448
812	0.5047274273
813	0.504391055
814	0.5041348249
815	0.5036396506
816	0.5032812434
817	0.5030849425
818	0.5028194708
819	0.5025959113
820	0.5023114894
821	0.5019183172
822	0.5016439473
823	0.5012734847
824	0.5009308886
825	0.5007066115
826	0.5003731504
827	0.4999959067
828	0.499812588
829	0.4995735924
830	0.499098956
831	0.4987469136
832	0.4984856561
833	0.4981882121
834	0.4978363036
835	0.4974426772
836	0.4971294198
837	0.4969050228
838	0.4965984414
839	0.4963341852
840	0.4960767646
841	0.4958835781
842	0.4955911857
843	0.4953083605
844	0.4950973354
845	0.4949427166
846	0.4948320228
847	0.494614188
848	0.4943412831
849	0.4941582118
850	0.4937322441
851	0.4936070149
852	0.4932288526
853	0.4929970642
854	0.4927287886
855	0.4926228446
856	0.4922850508
857	0.4921741611
858	0.4919050818
859	0.4915836832
860	0.4912687366
861	0.4908868757
862	0.4906598654
863	0.49048195
864	0.4901601701
865	0.4897955141
866	0.4896874917
867	0.4894181086
868	0.4891237318
869	0.4889196556
870	0.4885982011
871	0.4882051888
872	0.4879543942
873	0.4876843866
874	0.4874569224
875	0.4872568238
876	0.486985382
877	0.4867394642
878	0.4865414667
879	0.4860976889
880	0.485832644
881	0.485591821
882	0.4854245198
883	0.4852104761
884	0.4849433181
885	0.4846980699
886	0.4843730295
887	0.4841660906
888	0.483632731
889	0.4832649685
890	0.4831335901
891	0.4828245941
892	0.4825944905
893	0.4824526986
894	0.4821861273
895	0.4819386743
896	0.4817206794
897	0.4813795653
898	0.4809994193
899	0.4807150098
900	0.4804975351
901	0.4803163024
902	0.4800995911
903	0.4799864007
904	0.4797252189
905	0.4794096028
906	0.4790193201
907	0.4787062998
908	0.4785470486
909	0.4783613135
910	0.4780585579
911	0.4778383126
912	0.477584081
913	0.4772978441
914	0.4770243703
915	0.4768490538
916	0.4765932298
917	0.4761712097
918	0.4758533164
919	0.4756120789
920	0.4753335346
921	0.4752205909
922	0.4748858543
923	0.4745782503
924	0.4742407307
925	0.4739020265
926	0.4736536442
927	0.4732507989
928	0.4729665567
929	0.4727429417
930	0.4723307994
931	0.4719843705
932	0.471680057
933	0.4714012287
934	0.4711888252
935	0.470882934
936	0.4705076767
937	0.4700287564
938	0.4696710251
939	0.469498918
940	0.469143941
941	0.4689285892
942	0.4686836713
943	0.4684147433
944	0.4682025491
945	0.4679900507
946	0.4677087463
947	0.4673839163
948	0.467088047
949	0.4669203197
950	0.4667800346
951	0.4663499036
952	0.4659980836
953	0.4656633064
954	0.4654074133
955	0.4650853422
956	0.4647134392
957	0.4644825679
958	0.464113861
959	0.4639039929
960	0.4637141715
961	0.4634280406
962	0.4631201753
963	0.4628518737
964	0.462587966
965	0.4620413496
966	0.4618913759
967	0.4616520634
968	0.4613051615
969	0.4610371794
970	0.4608451473
971	0.4606379828
972	0.4602815801
973	0.4600706824
974	0.4598793778
975	0.459509413
976	0.4591900733
977	0.4589119247
978	0.4586826429
979	0.4584380948
980	0.4581526085
981	0.4578702027
982	0.4577235683
983	0.4574720508
984	0.4572949954
985	0.4569990247
986	0.4568456369
987	0.4565441018
988	0.4562679364
989	0.4559978722
990	0.4557294889
991	0.4555187482
992	0.4552797958
993	0.4550233532
994	0.4548328985
995	0.4543561034
996	0.4540942034
997	0.4538069597
998	0.4535454743
999	0.4533672253
